Frequency,Word
1.01,covid19
0.206,cases
0.187,amp
0.164,new
0.139,coronavirus
0.096,people
0.087,deaths
0.083,pandemic
0.077,riots2020
0.071,day
0.068,total
0.066,protests2020
0.064,blacklivesmatter
0.059,like
0.054,health
0.053,today
0.052,masks
0.051,georgefloyd
0.049,help
0.047,family
0.043,lockdown
0.043,georgefloydprotests
0.042,0
0.041,2
0.041,covid-19
0.04,disease
0.039,justiceforgeorgefloyd
0.039,police
0.038,blood
0.038,taking
0.037,patients
0.037,covid
0.037,trump
0.036,report
0.035,virus
0.035,lives
0.035,need
0.035,pretty
0.034,time
0.034,research
0.034,face
0.034,policies
0.034,knee
0.034,dcprotests
0.034,cool
0.034,visual
0.033,country
0.033,region
0.033,read
0.032,response
0.032,testing
0.032,parents
0.031,respiratory
0.031,distancing
0.031,million
0.03,latest
0.03,infection
0.03,protests
0.03,global
0.03,workplace
0.03,risk
0.03,16
0.03,america
0.029,viral
0.029,friendly
0.029,vaccine
0.028,crisis
0.027,muslim
0.027,brain
0.027,update
0.027,quarantine
0.026,khaira
0.026,1
0.026,3
0.025,support
0.025,state
0.025,know
0.025,number
0.025,2020
0.024,social
0.024,medical
0.024,positive
0.024,bostonprotest
0.024,china
0.023,human
0.023,highly
0.023,going
0.023,t
0.023,rate
0.022,states
0.022,vascular
0.022,month
0.022,president
0.022,let
0.022,death
0.022,bringing
0.022,spread
0.022,confirmed
