Weight,Word
3,journalism
4,crime
17,free
14,press
5,essential
5,peace
8,justice
187,amp
23,human
5,rights
9,supporting
3,pressfreedom
19,world
1010,covid19
25,support
23,highly
1,skilled
6,women
1,professionals
5,impacted
2,launched
1,shepivots
17,4
10,online
1,modules
1,upskill
8,10
3,k
49,help
4,prepare
3,career
1,transitions
164,new
1,opportunities
1,detail
1,womeninstemm
1,herd
2,immunity
23,going
1,win
2,mypov
2,hiddencost
3,extending
4,lockdowns
139,coronavirus
12,economic
2,peril
24,social
2,unrest
2,heck
7,folks
16,think
3,extended
43,lockdown
19,safe
11,right
3,publichealth
77,riots2020
2,tradeoff
13,better
3,doh
17,white
5,house
12,guidelines
22,states
7,reopen
7,include
2,downward
3,trajectory
2,documented
206,cases
3,14-day
3,period
25,state
2,meeting
2,criteria
2,tabs
9,county
262,-
4,level
2,map
13,m
10,believe
12,post
3,era
1,possibly
1,greatest
1,collaboration
1,companies
3,forced
1,optimize
2,resources
1,budgets
3,operations
34,time
1,startups
1,alliances
1,corporates
1,identify
18,work
2,shared
1,purpose
2,hey
33,country
3,choose
4,protecting
4,citizens
4,paying
2,debts
2,cancelthedebt
2,bold
3,emergency
32,response
3,globalcitizen
11,numbers
1,migrants
14,diagnosed
1,covid19ontario
4,migrant
1,farmworkers
1,skyrocketing
15,province
3,action
19,needed
1,silence
1,guatemala
54,health
8,minister
1,hugo
1,monroy
2,announces
1,348
53,today
68,total
1,5087
2,29
1,newly
15,recovered
37,patients
1,735
87,deaths
1,coronavirusgt
1,108
41,2
1,24-hour
2,weekend
9,curfew
1,ends
15,5
19,monday
1,woah
4,miss
13,got
1,laughing
2,crying
1,load
4,stuff
12,news
2,nt
4,proud
4,episode
2,seriously
2,honour
5,interview
5,indigenous
1,socialsciences
10,thanks
2,_
1,initiatives
20,fight
2,supporters
1,donated
5,far
1,wewillwin
35,virus
14,step
2,stayhomesavelives
2,covidriots
51,georgefloyd
4,charge
6,ending
2,uprising2020
4,mean
9,great
3,job
1,co
1,ordinating
2,uspoli
6,cdnpoli
2,bcpoli
1,1918
3,spanish
3,flu
1,teach
6,current
28,crisis
9,things
10,actually
9,come
2,spain
1,remembers
1,choice
2,ask
1,laugh
3,consider
1,buying
1,coffee
2,company
4,shutdown
3,gov
3,pay
2,rent
38,blood
18,clots
18,strokes
19,heart
19,attacks
37,covid
18,toes
19,common
18,vessels
30,latest
18,dive
34,research
18,suggesting
31,respiratory
40,disease
22,vascular
30,infection
3,looks
30,protests
1,appears
4,play
1,sports
29,viral
18,video
17,head
14,kanpur
24,medical
14,college
16,seen
20,making
13,objectionable
17,comments
27,muslim
13,accuses
18,cm
13,indulging
13,appeasement
14,politics
13,accused
13,tablighi
13,jamaar
20,members
13,spitting
22,month
23,t
1,supportindiemusic
1,buyindie
1,comeandlisten
1,showyoursupport
3,quarantinelife
7,wonder
5,shud
5,any1
5,objection
6,pmmodi
6,bjp
5,celebrating
5,failures
5,incompetence
5,mismanagement
5,insensitive
5,approach
7,poor
5,unemployment
6,failure
6,handle
5,tall
5,promises
8,zero
6,delivery
5,deception
4,cute
1,teddy
16,bear
4,happy
1,pet
3,smile
1,funny
2,cartoon
1,cotton
34,face
15,mask
1,zazzle
2,facemask
1,socialdistance
4,kids
1,gifts
1,fashion
1,ploy
1,fit
1,narrative
10,control
2,lock
21,ppl
4,months
3,weak
2,immune
6,systems
2,trigger
1,unbearable
16,protest
2,governments
9,reason
2,locked
5,longer
1,trojan
11,hi
13,thank
7,frontline
2,curbing
32,testing
2,vital
16,save
35,lives
6,limited
9,treatment
2,centres
2,urgently
8,increase
11,ensure
5,access
4,proper
5,multiple
4,leftists
5,governors
4,systematically
7,kill
12,healthy
8,elderly
16,black
4,mandating
24,positive
5,sent
5,homes
4,virtually
4,uprisings
5,guess
10,matter
4,protectourseniors
14,parent
14,fulfilling
16,experiences
21,life
30,global
32,parents
71,day
47,family
29,friendly
34,policies
30,workplace
19,especially
3,calls
17,hands
1,deck
1,backthefrontline
7,hear
2,jnj
1,vice
1,chairman
1,foundation
1,matching
1,employee
1,retiree
1,donations
3,solidarity
8,fund
12,sharing
2,accurate
10,information
4,plz
2,encourage
8,stop
6,spreading
21,fake
1,guatam
1,budh
2,nagar
2,district
5,administration
8,yesterday
14,said
1,noida
6,delhi
2,border
4,shut
36,report
2,department
2,source
1,42
9,20
15,days
2,tracked
7,according
1,magistrate
11,major
7,questions
35,need
2,asked
3,mark
3,labs
1,particular
1,commercial
1,coz
2,cost
7,sure
3,lot
7,retweet
1,picture
4,apparently
1,annoys
1,conservatives
15,maga
2,donald
37,trump
1,voters
12,makes
2,feel
1,uncomfortable
1,donaldtrump
3,kag
1,gop
1,minnesota
39,justiceforgeorgefloyd
10,twitter
1,bantrumpfromtwitter
1,phillyriots
5,daily
4,arizona
3,222
2,479
2,501
2,702
2,790
2,906
96,people
16,died
2,insist
5,moving
8,forward
9,reopening
4,spreads
2,loot
3,apple
2,store
2,scottsdale
10,issued
52,masks
31,distancing
22,president
18,bizarrely
20,stands
59,like
18,mannequin
18,metal
18,rod
19,ass
19,spacex
15,simple
19,looking
13,sikh
13,man
13,fed
31,million
14,remote
14,maharashtra
13,highway
13,spot
13,stretch
13,300
13,miles
13,decent
13,meal
13,served
13,-free
13,cost-
13,courtesy
13,baba
13,karnail
13,singh
26,khaira
13,revered
13,babaji
33,region
