Frequency,Word
0.105,people
0.101,-
0.096,black
0.083,police
0.064,amp
0.063,like
0.048,white
0.038,know
0.036,trump
0.035,time
0.034,protest
0.03,said
0.029,protesters
0.027,want
0.027,antifa
0.026,let
0.026,fucking
0.025,right
0.025,going
0.024,justice
0.023,good
0.023,protests
0.023,day
0.023,george
0.022,love
0.022,new
0.022,man
0.022,peaceful
0.022,america
0.022,fuck
0.021,lives
0.021,today
0.021,shit
0.021,need
0.021,think
0.02,racist
0.019,anonymous
0.019,blacklivesmatter
0.019,floyd
0.018,support
0.018,president
0.017,safe
0.017,media
0.016,bunker
0.016,violence
0.016,jail
0.016,sarkaruvaaripaata
0.015,feel
0.015,bad
0.015,talk
0.015,protesting
0.015,help
0.015,care
0.015,live
0.015,woman
0.015,got
0.015,share
0.015,real
0.014,georgefloyd
0.014,group
0.014,racism
0.014,watch
0.014,cops
0.014,city
0.014,peace
0.014,_
0.014,blm
0.014,officer
0.014,lot
0.014,remember
0.014,friends
0.013,tear
0.013,1
0.013,better
0.013,protestors
0.013,stay
0.013,curfew
0.013,twitter
0.013,thread
0.013,looting
0.012,murder
0.012,ssmb27
0.012,minneapolis
0.012,fight
0.012,stop
0.012,u
0.012,happy
0.012,hope
0.012,person
0.012,arrested
0.011,come
0.011,guy
0.011,stand
0.011,2
0.011,3
0.011,asked
0.011,matter
0.011,place
0.011,face
