Weight,Word
1,glory
7,strong
3,lord
2,q
12,murder
14,georgefloyd
5,hacker
14,group
19,anonymous
5,takes
83,police
3,servers
3,exposes
36,trump
8,celebrities
4,talks
3,bolsonaro
3,icantbreathe
5,justiceforgeorgefloyd
19,blacklivesmatter
5,k
5,biden
1,staffers
1,scramble
1,funnel
9,bail
8,money
6,rioters
30,said
96,black
21,lives
5,mattuhh
22,love
2,holy
1,smokes
1,nicki
3,favorite
1,barbz
1,thankful
8,fighting
27,want
9,tomorrow
2,thug
63,like
48,white
105,people
1,struggling
8,find
4,words
14,racism
5,injustice
5,called
6,system
2,sitting
5,breaking
10,left
25,right
64,amp
1,centre
4,non
101,-
3,poc
38,know
15,feel
15,bad
3,guilt
35,time
1,pity
4,party
3,promise
25,going
23,good
2,ally
26,let
5,speak
18,support
1,boost
5,voices
11,come
14,watch
6,lose
3,pretty
2,gear
3,rate
8,link
2,bio
2,twitch
2,twitchstreamer
1,gamer
1,pc
1,pcgaming
1,twitchaffiliate
2,streamer
3,games
1,fpsgames
1,gamerdad
1,gamingsetups
1,oof
1,pleb
1,eft
1,escapefromtarkov
2,fun
1,okayestgamer
9,hey
9,underground
16,bunker
8,wanna
15,talk
6,buddy
1,lmfaooooooooooooooooooooooooooooooooo
4,bitches
5,open
4,mouth
1,dick
3,closed
3,issues
1,horse
4,girls
1,command
1,toss
4,mf
3,backs
1,snapchat
5,sending
2,dms
4,speaks
4,volumes
7,girl
3,poking
5,head
2,smiling
3,waving
14,cops
1,shutting
1,freeways
14,city
8,use
1,struggles
2,dumb
3,lil
1,fanwars
1,hang
21,today
22,new
2,york
22,man
4,crying
4,santa
2,monica
4,blocking
2,exits
3,arrests
1,hide
3,safety
7,leave
4,area
1,repeat
17,safe
5,careful
13,tear
8,gas
4,rubber
4,bullets
1,remind
5,happened
3,earlier
8,month
7,saw
1,muslim
11,guy
1,bombed
6,killed
3,stole
1,cap
6,lol
4,air
4,force
13,1
2,destroyed
1,swooshes
4,ok
1,google
2,nick
2,cannon
4,lupus
15,protesting
6,covid
4,comments
4,ai
10,nt
2,contagious
6,mean
2,comprehension
3,skills
10,actually
3,teaching
7,yall
6,example
5,tweeting
6,change
21,shit
1,plz
7,thinking
23,protests
1,chile
2,caused
2,hundreds
5,eye
5,damage
1,prevent
4,began
4,wear
3,protective
1,glasses
8,protect
1,motivate
13,better
3,everyday
1,practicing
1,hand
11,stand
1,push
2,ups
2,amazon
6,came
2,fb
1,tagged
1,web
7,means
4,website
1,visit
4,app
1,ie
5,petition
1,redirects
1,weird
4,location
3,probably
2,site
3,log
4,account
1,sites
2,server
6,kill
4,burn
16,violence
5,tired
14,peace
4,loud
9,heard
2,longer
3,raise
5,hell
5,ground
5,dont
10,life
4,matters
3,energy
1,amyamongus
1,cast
1,amy
3,cooper
4,victim
1,reaction
5,calling
2,christian
11,2
11,3
1,suffered
6,4
1,fill
1,blank
4,awesome
2,gives
2,content
1,temping
1,fuckthepolice
4,film
21,need
1,abolish
2,critical
9,donate
15,help
13,protestors
16,jail
6,getting
1,angry
2,directly
1,governments
4,pockets
2,sharing
2,caring
1,covid19
2,potential
1,reaches
2,soo
4,high
12,ssmb27
16,sarkaruvaaripaata
8,oh
9,god
10,went
9,making
13,stay
7,home
3,tyranny
13,curfew
7,outside
8,week
1,image
1,background
12,minneapolis
5,looks
1,russian
1,based
1,figure
17,media
1,outlet
1,microphone
1,related
3,working
1,field
4,cnn
1,conjunction
1,ygladies
1,blackjack
8,community
3,fan
3,duty
1,staffs
2,co
2,blackjacks
1,behalf
1,2ne1
1,ygl
2,donated
1,ongoing
12,fight
1,columbus
2,pepper
1,spraying
22,peaceful
4,unarmed
4,sit
4,telling
1,bible
2,teaches
5,violent
1,route
2,lie
11,asked
11,matter
3,grew
1,household
3,asian
1,epitome
3,supporter
4,posted
1,disrespectful
8,taking
1,knee
1,eventually
3,sir
2,turns
6,ending
5,controversial
5,lmaoooo
5,disagreement
12,stop
2,unjust
1,opinions
2,valid
1,hides
6,away
1,49
2,retweets
5,set
4,happens
2,purpose
1,wind
1,fema
1,camps
9,way
4,update
8,follow
1,episode
3,coming
6,soon
1,sidewalk
9,ppl
1,rocks
1,throw
1,dats
8,cop
21,think
2,won
2,trade
3,flint
2,tory
2,lanez
2,provided
9,free
2,entertainment
2,public
4,quarantine
6,putting
2,cash
2,showcase
2,individual
2,talents
7,rich
2,criticizing
2,riots2020
2,confuse
2,west
3,philly
5,rest
2,nother
11,place
2,relation
2,fools
2,robbing
5,dollar
5,store
2,islamics
2,oils
6,stores
2,phillyriots
2,lines
8,folks
6,showing
6,bet
9,cause
4,unity
5,beautiful
4,incredible
3,scene
2,colorado
3,capitol
5,thousands
29,protesters
6,lying
11,face
10,hands
3,chanting
5,breathe
3,9
2,mins
2,copolitics
2,denverprotest
10,spread
4,lost
4,track
5,videos
6,seen
3,intentionally
3,escalating
2,situations
2,incite
2,intentional
4,harm
2,terrifying
15,care
2,videotaped
6,anymore
3,protected
1,waiting
2,appear
5,tv
