Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
College of Natural Science,Denver,College of Natural Science,Scholarship,5088,2010-07-28,Biological Science Interdepartmental,1000,CO
College of Natural Science,San Francisco,College of Social Science,Scholarship,3793,2010-09-10,Human Development and Family Studies,1001,CA
Minority Scholarship Fund,Los Angeles,College of Business,Scholarship,2952,2010-06-30,Accounting,1002,CA
College of Communication Arts and Sciences,Mesa,College of Natural Science,Scholarship,2872,2010-11-23,Mathematics,1003,AZ
Diversity Fund,West Valley City,College of Social Science,Endowment,2022,2010-10-10,Psychology,1004,UT
University Annual Fund,West Valley City,College of Social Science,Endowment,7234,2013-05-21,Psychology,1004,UT
College of Arts and Sciences,Orlando,College of Engineering,Scholarship,173,2010-03-15,Materials Science and Engineering,1005,FL
Alumni Association,Orlando,College of Engineering,Campus Resource,368,2013-08-29,Materials Science and Engineering,1005,FL
Alumni Association,Richmond,College of Agriculture and Natural Resources,Campus Resource,681,2010-10-25,Fisheries and Wildlife,1006,VA
Alumni Association,Richmond,College of Agriculture and Natural Resources,Campus Resource,1758,2013-08-20,Fisheries and Wildlife,1006,VA
Faculty Chair Endowments,Detroit,College of Political Science,Endowment,6862,2010-05-30,Social Relations and Policy,1007,MI
Parents Association,Detroit,College of Political Science,Campus Resource,13784,2011-09-05,Social Relations and Policy,1007,MI
College of Arts and Sciences,Detroit,College of Political Science,Scholarship,26590,2012-06-19,Social Relations and Policy,1007,MI
Campus Museums,Detroit,College of Political Science,Campus Resource,28838,2014-03-29,Social Relations and Policy,1007,MI
College of Arts and Sciences,Atlanta,College of Social Science,Scholarship,784,2010-05-16,Interdisciplinary Studies in Social Science - Social Science Education,1008,GA
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,5619,2010-04-22,Art History and Visual Culture,1009,CA
Minority Scholarship Fund,Indianapolis,College of Communication Arts and Sciences,Scholarship,5686,2010-04-28,Media and Information,1010,IN
Campus Museums,Henderson,College of Communication Arts and Sciences,Campus Resource,373,2010-10-31,Media and Information,1011,NV
College of Social Science,Phoenix,College of Political Science,Scholarship,7285,2010-06-29,Political Theory and Constitutional Democracy,1012,AZ
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,2209,2010-01-12,Geographic Information Science,1013,MO
Parents Association,Manchester,College of Natural Science,Campus Resource,8877,2010-01-19,Computational Mathematics,1014,NH
College of Arts and Sciences,Los Angeles,College of Education,Scholarship,6757,2010-03-31,Education,1015,CA
College of Natural Science,Seattle,College of Agriculture and Natural Resources,Scholarship,2585,2010-08-06,Agribusiness Management,1016,WA
College of Social Science,Lexington,College of Political Science,Scholarship,888,2010-12-28,College of Political Science,1017,KY
Athletics,New York,College of Arts and Sciences,Campus Resource,3367,2010-01-12,Japanese,1018,NY
In-State Scholarship Fund,New York,College of Arts and Sciences,Scholarship,1538,2013-01-22,Japanese,1018,NY
College of Arts and Sciences,Chicago,College of Agriculture and Natural Resources,Scholarship,6516,2010-06-26,Horticulture,1019,IL
College of Arts and Sciences,Chicago,College of Agriculture and Natural Resources,Scholarship,1434,2013-10-06,Horticulture,1019,IL
Faculty Chair Endowments,Colorado Springs,College of Agriculture and Natural Resources,Endowment,1793,2010-04-30,Agriculture and Natural Resources-No Preference,1020,CO
College of Arts and Sciences,Colorado Springs,College of Agriculture and Natural Resources,Scholarship,6032,2013-03-14,Agriculture and Natural Resources-No Preference,1020,CO
Honors Program,Detroit,College of Music,Campus Resource,9739,2010-04-15,Composition,1021,MI
College of Natural Science,Detroit,College of Music,Scholarship,1437,2013-02-02,Composition,1021,MI
Alumni Association,Oklahoma City,College of Natural Science,Campus Resource,2873,2010-08-16,Neuroscience,1022,OK
College of Natural Science,Oklahoma City,College of Natural Science,Scholarship,8916,2013-10-22,Neuroscience,1022,OK
Trustees Fund,Cedar Rapids,College of Natural Science,Endowment,8257,2010-06-02,Environmental Biology/Plant Biol,1023,IA
Campus Recreation,Cedar Rapids,College of Natural Science,Campus Resource,9344,2013-09-04,Environmental Biology/Plant Biol,1023,IA
Campus Museums,Los Angeles,College of Agriculture and Natural Resources,Campus Resource,3071,2010-06-12,Horticulture,1024,CA
College of Social Science,Los Angeles,College of Agriculture and Natural Resources,Scholarship,4976,2013-12-05,Horticulture,1024,CA
Trustees Fund,Alexandria,College of Natural Science,Endowment,5288,2010-10-04,Actuarial Science,1025,VA
College of Business,Alexandria,College of Natural Science,Scholarship,9079,2013-01-09,Actuarial Science,1025,VA
College of Engineering,Miami,College of Arts and Sciences,Scholarship,6146,2010-05-12,Global Studies in the Arts and Humanities,1026,FL
Trustees Fund,Miami,College of Arts and Sciences,Endowment,6155,2013-08-17,Global Studies in the Arts and Humanities,1026,FL
University Annual Fund,Philadelphia,College of Natural Science,Endowment,6371,2010-12-10,Biochemistry and Molecular Biology/Biotechnology,1027,PA
University Annual Fund,Philadelphia,College of Natural Science,Endowment,3478,2013-07-18,Biochemistry and Molecular Biology/Biotechnology,1027,PA
College of Natural Science,Lansing,College of Agriculture and Natural Resources,Scholarship,6451,2010-10-02,Fisheries and Wildlife,1028,MI
College of Natural Science,Lansing,College of Agriculture and Natural Resources,Scholarship,243,2013-09-05,Fisheries and Wildlife,1028,MI
Diversity Fund,Kansas City,College of Engineering,Endowment,6301,2010-08-24,Biosystems Engineering,1029,MO
University Annual Fund,Kansas City,College of Engineering,Endowment,8941,2013-04-29,Biosystems Engineering,1029,MO
University Annual Fund,Lansing,College of Natural Science,Endowment,5634,2010-10-22,Statistics,1030,MI
College of Engineering,Seattle,College of Social Science,Scholarship,7575,2010-04-15,Sociology,1031,WA
College of Engineering,Cincinnati,College of Engineering,Scholarship,2015,2010-01-18,Computer Science,1032,OH
Faculty Chair Endowments,Chicago,College of Agriculture and Natural Resources,Endowment,2587,2010-09-26,Landscape Architecture,1033,IL
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,7641,2013-09-09,Landscape Architecture,1033,IL
In-State Scholarship Fund,Des Moines,College of Nursing,Scholarship,7126,2010-10-21,Summer Research Program,1034,IA
Faculty Chair Endowments,Des Moines,College of Nursing,Endowment,383,2013-02-09,Summer Research Program,1034,IA
Campus Museums,Overland Park,College of Business,Campus Resource,8199,2010-04-01,Hospitality Business,1035,KS
College of Education,Overland Park,College of Business,Scholarship,8816,2013-07-02,Hospitality Business,1035,KS
College of Education,Wichita,College of Arts and Sciences,Scholarship,8561,2010-07-06,Japanese,1036,KS
College of Engineering,Wichita,College of Arts and Sciences,Scholarship,5453,2013-04-17,Japanese,1036,KS
College of Engineering,Little Rock,College of Natural Science,Scholarship,313,2010-05-15,Statistics,1037,AR
Faculty Chair Endowments,Little Rock,College of Natural Science,Endowment,7610,2013-05-17,Statistics,1037,AR
Parents Association,Richmond,College of Social Science,Campus Resource,4238,2010-12-28,Psychology,1038,VA
University Libraries,Richmond,College of Social Science,Campus Resource,995,2013-12-03,Psychology,1038,VA
