support,itemsets,length
0.23,frozenset({'cases'}),1
0.179,frozenset({'new'}),1
0.157,frozenset({'amp'}),1
0.147,frozenset({'trump'}),1
0.12,frozenset({'days'}),1
0.117,frozenset({'reported'}),1
0.107,frozenset({'nearly'}),1
0.102,frozenset({'tulsa'}),1
0.102,frozenset({'rally'}),1
0.098,frozenset({'county'}),1
0.096,frozenset({'past'}),1
0.094,frozenset({'comes'}),1
0.093,frozenset({'people'}),1
0.093,frozenset({'outbreak'}),1
0.093,frozenset({'likely'}),1
0.092,frozenset({'predicted'}),1
0.09,frozenset({'deemed'}),1
0.089,frozenset({'linked'}),1
0.081,frozenset({'coronavirus'}),1
0.07,frozenset({'schools'}),1
0.067,frozenset({'deaths'}),1
0.064,frozenset({'need'}),1
0.052,frozenset({'today'}),1
0.049,frozenset({'like'}),1
0.047,frozenset({'community'}),1
0.046,frozenset({'want'}),1
0.046,frozenset({'cdc'}),1
0.045,frozenset({'open'}),1
0.045,frozenset({'risk'}),1
0.045,frozenset({'masks'}),1
0.045,frozenset({'day'}),1
0.042,frozenset({'mask'}),1
0.042,frozenset({'health'}),1
0.042,frozenset({'wear'}),1
0.041,frozenset({'help'}),1
0.04,frozenset({'pence'}),1
0.04,frozenset({'pandemic'}),1
0.039,frozenset({'million'}),1
0.038,frozenset({'reason'}),1
0.038,frozenset({'week'}),1
0.037,frozenset({'texas'}),1
0.036,frozenset({'country'}),1
0.036,frozenset({'children'}),1
0.035,frozenset({'guidance'}),1
0.035,frozenset({'july'}),1
0.035,frozenset({'death'}),1
0.034,frozenset({'spread'}),1
0.033,frozenset({'state'}),1
0.033,frozenset({'continue'}),1
0.033,frozenset({'year'}),1
0.032,frozenset({'response'}),1
0.032,frozenset({'share'}),1
0.03,frozenset({'family'}),1
0.029,frozenset({'test'}),1
0.029,frozenset({'know'}),1
0.028,frozenset({'confirmed'}),1
0.028,frozenset({'wearing'}),1
0.028,frozenset({'let'}),1
0.028,frozenset({'social'}),1
0.028,frozenset({'numbers'}),1
0.028,frozenset({'protect'}),1
0.027,frozenset({'positive'}),1
0.027,frozenset({'school'}),1
0.026,frozenset({'home'}),1
0.026,frozenset({'distancing'}),1
0.025,frozenset({'work'}),1
0.025,frozenset({'patients'}),1
0.025,frozenset({'face'}),1
0.025,frozenset({'time'}),1
0.024,frozenset({'covid'}),1
0.024,frozenset({'schoolsreopening'}),1
0.024,frozenset({'virus'}),1
0.024,frozenset({'good'}),1
0.024,frozenset({'weeks'}),1
0.024,frozenset({'hands'}),1
0.023,frozenset({'close'}),1
0.023,frozenset({'testing'}),1
0.023,frozenset({'better'}),1
0.022,frozenset({'pm'}),1
0.022,frozenset({'care'}),1
0.022,frozenset({'stop'}),1
0.022,frozenset({'efforts'}),1
0.022,frozenset({'women'}),1
0.022,frozenset({'recovery'}),1
0.021,frozenset({'students'}),1
0.021,frozenset({'govt'}),1
0.021,frozenset({'data'}),1
0.021,frozenset({'months'}),1
0.021,frozenset({'stay'}),1
0.02,frozenset({'use'}),1
0.02,frozenset({'affected'}),1
0.02,frozenset({'rate'}),1
0.02,frozenset({'total'}),1
0.019,frozenset({'great'}),1
0.019,frozenset({'pay'}),1
0.019,frozenset({'cost'}),1
0.019,frozenset({'resources'}),1
0.019,frozenset({'willing'}),1
0.019,frozenset({'right'}),1
0.019,frozenset({'hours'}),1
