support,itemsets,length
0.055,frozenset({'like'}),1
0.04,frozenset({'people'}),1
0.039,frozenset({'amp'}),1
0.029,frozenset({'new'}),1
0.029,frozenset({'time'}),1
0.028,frozenset({'love'}),1
0.026,frozenset({'know'}),1
0.026,frozenset({'good'}),1
0.025,frozenset({'want'}),1
0.024,frozenset({'got'}),1
0.024,frozenset({'day'}),1
0.023,frozenset({'let'}),1
0.023,frozenset({'trump'}),1
0.021,frozenset({'think'}),1
0.02,frozenset({'need'}),1
0.02,frozenset({'come'}),1
0.02,frozenset({'years'}),1
0.019,frozenset({'going'}),1
0.019,frozenset({'right'}),1
0.017,frozenset({'school'}),1
0.017,frozenset({'thank'}),1
0.017,frozenset({'look'}),1
0.016,frozenset({'lol'}),1
0.016,frozenset({'help'}),1
0.015,frozenset({'world'}),1
0.015,frozenset({'happy'}),1
0.015,frozenset({'bad'}),1
0.014,frozenset({'said'}),1
0.014,frozenset({'best'}),1
0.014,frozenset({'today'}),1
0.014,frozenset({'black'}),1
0.014,frozenset({'government'}),1
0.013,frozenset({'person'}),1
0.013,frozenset({'big'}),1
0.013,frozenset({'life'}),1
0.013,frozenset({'actually'}),1
0.013,frozenset({'thing'}),1
0.012,frozenset({'better'}),1
0.012,frozenset({'great'}),1
0.012,frozenset({'tweet'}),1
0.012,frozenset({'heart'}),1
0.012,frozenset({'kids'}),1
0.012,frozenset({'man'}),1
0.012,frozenset({'days'}),1
0.011,frozenset({'feel'}),1
0.011,frozenset({'family'}),1
0.011,frozenset({'white'}),1
0.011,frozenset({'police'}),1
0.011,frozenset({'live'}),1
0.011,frozenset({'week'}),1
0.011,frozenset({'single'}),1
0.011,frozenset({'god'}),1
0.011,frozenset({'women'}),1
0.011,frozenset({'men'}),1
0.011,frozenset({'girl'}),1
0.011,frozenset({'control'}),1
0.011,frozenset({'year'}),1
0.01,frozenset({'country'}),1
0.01,frozenset({'retweet'}),1
0.01,frozenset({'real'}),1
0.01,frozenset({'stop'}),1
0.01,frozenset({'movie'}),1
0.01,frozenset({'having'}),1
0.01,frozenset({'ago'}),1
0.01,frozenset({'maybe'}),1
0.01,frozenset({'twitter'}),1
0.009,frozenset({'little'}),1
0.009,frozenset({'sure'}),1
0.009,frozenset({'die'}),1
0.009,frozenset({'america'}),1
0.009,frozenset({'came'}),1
0.009,frozenset({'follow'}),1
0.009,frozenset({'remember'}),1
0.009,frozenset({'money'}),1
0.009,frozenset({'coming'}),1
0.009,frozenset({'wo'}),1
0.009,frozenset({'july'}),1
0.009,frozenset({'asked'}),1
0.009,frozenset({'work'}),1
0.009,frozenset({'fucking'}),1
0.009,frozenset({'president'}),1
0.009,frozenset({'ur'}),1
0.009,frozenset({'shit'}),1
0.009,frozenset({'hope'}),1
0.008,frozenset({'care'}),1
0.008,frozenset({'bts'}),1
0.008,frozenset({'army'}),1
0.008,frozenset({'guys'}),1
0.008,frozenset({'hate'}),1
0.008,frozenset({'eyes'}),1
0.008,frozenset({'blm'}),1
0.008,frozenset({'moment'}),1
0.008,frozenset({'nt'}),1
0.008,frozenset({'biden'}),1
0.008,frozenset({'video'}),1
0.008,frozenset({'retweets'}),1
0.008,frozenset({'use'}),1
0.008,frozenset({'news'}),1
0.008,frozenset({'away'}),1
0.008,frozenset({'schools'}),1
